Date,p,tair
1976-01-01,4.65,-17.17
1976-01-02,3.11,-5.49
1976-01-03,4.34,2.55
1976-01-04,2.29,-3.72
1976-01-05,17.32,-2.43
1976-01-06,11.54,0.03
1976-01-07,10.49,-1.53
1976-01-08,21.17,-0.86
1976-01-09,1.25,-1.54
1976-01-10,2.02,-1.08
1976-01-11,2.25,-7.15
1976-01-12,0.14,-9.46
1976-01-13,4.91,-7.35
1976-01-14,0.63,-17.98
1976-01-15,9.56,-14.79
1976-01-16,2.99,-9.81
1976-01-17,0.05,-12.35
1976-01-18,0.22,-8.53
1976-01-19,1.24,-4.72
1976-01-20,0.8,-2.37
1976-01-21,1.21,-8.25
1976-01-22,0,-18.17
1976-01-23,13.22,-15.04
1976-01-24,0.35,-5.48
1976-01-25,4.57,-8.34
1976-01-26,0.13,-18.83
1976-01-27,0.07,-14.97
1976-01-28,0,-4.41
1976-01-29,0,-3.94
1976-01-30,0.93,-4.37
1976-01-31,0.17,-4.81
1976-02-01,0.05,-3.6
1976-02-02,0.01,0.33
1976-02-03,0,-0.73
1976-02-04,0,-7.71
1976-02-05,0,-8.17
1976-02-06,0,-9.3
1976-02-07,0.1,-9.17
1976-02-08,0,-5.94
1976-02-09,0,-5.51
1976-02-10,0.04,-4.01
1976-02-11,3.46,1.59
1976-02-12,8.1,3.41
1976-02-13,3.12,-8.84
1976-02-14,0,-18.15
1976-02-15,0,-19.87
1976-02-16,0.13,-10.71
1976-02-17,1.28,-0.47
1976-02-18,2.08,-0.93
1976-02-19,5.8,0.19
1976-02-20,3.66,-1.22
1976-02-21,1.95,-1.64
1976-02-22,0.31,-4.04
1976-02-23,0,-3.35
1976-02-24,5.05,-0.37
1976-02-25,7.5,-1.57
1976-02-26,0.82,-1.53
1976-02-27,0.18,0.35
1976-02-28,0.35,5.17
1976-02-29,2.75,3.48
1976-03-01,0.78,2.71
1976-03-02,1.93,0.66
1976-03-03,0,-1.55
1976-03-04,0,-2.03
1976-03-05,0.06,-2.48
1976-03-06,5.72,-4.72
1976-03-07,2.18,-3.94
1976-03-08,9.89,3.56
1976-03-09,5.69,-3.05
1976-03-10,0.95,-15.04
1976-03-11,1.65,-16.14
1976-03-12,0.24,-14.33
1976-03-13,2.38,-6.61
1976-03-14,0.59,-3.84
1976-03-15,0,-6.08
1976-03-16,0,-7.96
1976-03-17,1.14,-2.94
1976-03-18,4.62,-1.09
1976-03-19,0.94,-2.46
1976-03-20,4.17,-5.38
1976-03-21,21.72,-6.39
1976-03-22,6.93,-6.7
1976-03-23,6.06,-4.03
1976-03-24,5,-3.82
1976-03-25,10.02,3.98
1976-03-26,8.93,9.6
1976-03-27,4.63,14.53
1976-03-28,4.23,8.46
1976-03-29,19.31,10.74
1976-03-30,5.09,13.13
1976-03-31,7.54,3.58
1976-04-01,11.89,4.72
1976-04-02,9.93,0.08
1976-04-03,7.69,-2.11
1976-04-04,8.19,-0.34
1976-04-05,0.18,2.45
1976-04-06,0.01,4.06
1976-04-07,0,4.38
1976-04-08,0,2.59
1976-04-09,0,1.3
1976-04-10,0,2.44
1976-04-11,0,6.17
1976-04-12,0,6.33
1976-04-13,0,6.31
1976-04-14,0,8.34
1976-04-15,1.89,10
1976-04-16,6.1,12.49
1976-04-17,0.17,5.09
1976-04-18,13.12,7.74
1976-04-19,8.05,3.26
1976-04-20,0.14,6.4
1976-04-21,0.04,7.23
1976-04-22,2.11,9.18
1976-04-23,1.63,4.56
1976-04-24,1.92,1.2
1976-04-25,0,0.22
1976-04-26,2.48,-0.18
1976-04-27,0.23,5.65
1976-04-28,0,9.78
1976-04-29,0,12.36
1976-04-30,0.48,15.88
1976-05-01,4.66,11.35
1976-05-02,0.97,13.31
1976-05-03,0.66,14.9
1976-05-04,1.6,18.02
1976-05-05,6.07,15.14
1976-05-06,6.54,16.34
1976-05-07,11.06,15.23
1976-05-08,0.23,13.6
1976-05-09,0.83,12.3
1976-05-10,0.13,13.68
1976-05-11,1.05,12.5
1976-05-12,1.56,13.39
1976-05-13,1.56,15.49
1976-05-14,1.68,17.8
1976-05-15,1.56,18.59
1976-05-16,2.71,17.94
1976-05-17,2.32,15.58
1976-05-18,1.56,12.43
1976-05-19,3.92,14.93
1976-05-20,9.02,13.49
1976-05-21,13.24,9.93
1976-05-22,1.15,7.53
1976-05-23,0.17,13.53
1976-05-24,0,15.46
1976-05-25,0,12.7
1976-05-26,0,9.24
1976-05-27,0.16,16.78
1976-05-28,6.57,19.26
1976-05-29,0.3,12.66
1976-05-30,22.55,10.37
1976-05-31,0.23,10.26
1976-06-01,8.03,11.2
1976-06-02,4.57,7.81
1976-06-03,3.8,8.33
1976-06-04,5.55,6.27
1976-06-05,2.43,8.77
1976-06-06,11.36,11.39
1976-06-07,4.52,11.3
1976-06-08,0.07,13.16
1976-06-09,0.34,17
1976-06-10,4.33,17.15
1976-06-11,3.71,14.45
1976-06-12,9.85,15.39
1976-06-13,1.35,17.02
1976-06-14,1.44,17.8
1976-06-15,13.54,17.19
1976-06-16,19.87,19.68
1976-06-17,2.5,19.23
1976-06-18,0.32,19.6
1976-06-19,10.59,19.72
1976-06-20,0.18,20.85
1976-06-21,1.2,22.41
1976-06-22,0,22.16
1976-06-23,3.19,22.24
1976-06-24,5.36,20.18
1976-06-25,24.2,19.36
1976-06-26,8.85,15.9
1976-06-27,2.12,13.62
1976-06-28,8.39,16.68
1976-06-29,12.82,19.82
1976-06-30,1.51,13.53
1976-07-01,2,17.14
1976-07-02,2.15,18.94
1976-07-03,14.11,18.47
1976-07-04,5.48,16.87
1976-07-05,5.63,16.18
1976-07-06,5.9,18.35
1976-07-07,10.52,19.38
1976-07-08,11.87,19.45
1976-07-09,33.78,15.21
1976-07-10,5.8,15.28
1976-07-11,0.35,15.65
1976-07-12,0.09,17.15
1976-07-13,0.13,22.23
1976-07-14,0.13,23.93
1976-07-15,4.35,23.93
1976-07-16,20.39,22.34
1976-07-17,0.16,19.23
1976-07-18,0.05,18.63
1976-07-19,11.43,19.65
1976-07-20,0.05,19.62
1976-07-21,0.5,22.31
1976-07-22,4.81,17.14
1976-07-23,0.05,15.75
1976-07-24,0,13.92
1976-07-25,0,15.33
1976-07-26,5.1,16.88
1976-07-27,6.84,19.88
1976-07-28,1.13,18.49
1976-07-29,10.02,17.45
1976-07-30,0.29,16.01
1976-07-31,0,14.4
1976-08-01,0.01,17.26
1976-08-02,0,19.3
1976-08-03,0.04,17.78
1976-08-04,0,18.7
1976-08-05,0,19.39
1976-08-06,0.84,20.18
1976-08-07,0,21.21
1976-08-08,0.12,23.56
1976-08-09,35.78,22.03
1976-08-10,18.48,19.31
1976-08-11,0.09,15.37
1976-08-12,0.02,12.73
1976-08-13,0.18,15.79
1976-08-14,6.72,19.67
1976-08-15,2.68,19.48
1976-08-16,3.13,19.39
1976-08-17,0.08,15.25
1976-08-18,0,11.15
1976-08-19,0.63,13
1976-08-20,0.91,15.76
1976-08-21,0.11,15.66
1976-08-22,5.96,13.92
1976-08-23,5.81,19.94
1976-08-24,18.81,19.51
1976-08-25,0.3,20.24
1976-08-26,0.34,20.08
1976-08-27,0.12,18.27
1976-08-28,3.61,17.54
1976-08-29,0.68,17.83
1976-08-30,0.55,14.95
1976-08-31,0.05,13.64
1976-09-01,26.35,15.16
1976-09-02,13.01,15.91
1976-09-03,4.5,15.21
1976-09-04,0.55,14.79
1976-09-05,10.99,17.17
1976-09-06,5.53,15.69
1976-09-07,32.79,11.09
1976-09-08,41.97,10.22
1976-09-09,0.13,12.31
1976-09-10,0.81,12.31
1976-09-11,3.92,12.28
1976-09-12,0.12,12.75
1976-09-13,0.13,13.04
1976-09-14,3.62,16.5
1976-09-15,0.25,12.87
1976-09-16,0.01,11.66
1976-09-17,0,9.91
1976-09-18,0.91,17.19
1976-09-19,1.12,16.86
1976-09-20,10.33,21.21
1976-09-21,0.11,12.36
1976-09-22,0.07,6.2
1976-09-23,0,7.2
1976-09-24,0.03,13.36
1976-09-25,6.27,14.43
1976-09-26,8.84,17.58
1976-09-27,2.48,11.37
1976-09-28,1.38,8.11
1976-09-29,7.76,11.84
1976-09-30,11.72,9.5
1976-10-01,1.05,3.77
1976-10-02,0.03,5.39
1976-10-03,0.01,4.92
1976-10-04,0,4.09
1976-10-05,0,3.63
1976-10-06,7.24,8.76
1976-10-07,5.23,11.45
1976-10-08,0.6,10.68
1976-10-09,2.1,11.99
1976-10-10,0.72,9.97
1976-10-11,0.06,7.22
1976-10-12,0.07,10.09
1976-10-13,13.56,7.89
1976-10-14,5.84,5.68
1976-10-15,0.16,5.88
1976-10-16,0.1,7.42
1976-10-17,2.75,15.21
1976-10-18,1.67,9.45
1976-10-19,2.43,5.96
1976-10-20,0.46,2.02
1976-10-21,0,3.13
1976-10-22,0.11,4.99
1976-10-23,0,11.78
1976-10-24,0,4.94
1976-10-25,0,1.52
1976-10-26,0.01,4.85
1976-10-27,19.02,7.86
1976-10-28,0.03,3.84
1976-10-29,8.15,2.8
1976-10-30,1.6,3.55
1976-10-31,3.53,2.74
1976-11-01,7.35,1.29
1976-11-02,1.19,-0.28
1976-11-03,2.4,-1.23
1976-11-04,0.25,-0.99
1976-11-05,1.1,-0.13
1976-11-06,0.83,0.09
1976-11-07,0,-1.37
1976-11-08,0,-1.15
1976-11-09,8.64,0.11
1976-11-10,3.79,5.89
1976-11-11,1.33,3.01
1976-11-12,0.65,-3.21
1976-11-13,5.85,-0.59
1976-11-14,6.21,1.37
1976-11-15,7.11,-4.6
1976-11-16,5.94,-4.26
1976-11-17,5.48,-5.39
1976-11-18,6.86,0
1976-11-19,5.96,3.14
1976-11-20,6.06,-0.22
1976-11-21,3.38,-0.32
1976-11-22,4.08,5.02
1976-11-23,3.08,3.23
1976-11-24,2.68,-0.58
1976-11-25,20.58,-0.51
1976-11-26,5.91,-1.12
1976-11-27,5.63,-0.62
1976-11-28,5.72,-1.21
1976-11-29,7.39,3.51
1976-11-30,11.63,3.92
1976-12-01,5.11,2.65
1976-12-02,9.69,2.08
1976-12-03,0.66,3.2
1976-12-04,7.93,0.04
1976-12-05,5.38,6.5
1976-12-06,3.7,6.25
1976-12-07,1.58,-5.82
1976-12-08,0.06,-2.8
1976-12-09,2.23,-3.48
1976-12-10,0.45,-3
1976-12-11,0,-3.14
1976-12-12,0.71,-0.04
1976-12-13,0,-4.64
1976-12-14,0.37,-0.53
1976-12-15,4.7,0.37
1976-12-16,8.04,-2.94
1976-12-17,0.99,-10.15
1976-12-18,3.21,-7.5
1976-12-19,0.79,-6.87
1976-12-20,10.1,-2.21
1976-12-21,2.86,-5.46
1976-12-22,0,-15.79
1976-12-23,1.22,-9.87
1976-12-24,1.56,-8.92
1976-12-25,0.27,-5.68
1976-12-26,0.01,-7.5
1976-12-27,0.4,-2.98
1976-12-28,2.1,-6.9
1976-12-29,2.62,-11.46
1976-12-30,1.01,-21.43
1976-12-31,4.65,-17.17
1977-01-01,4.65,-17.17
1977-01-02,3.11,-5.49
1977-01-03,4.34,2.55
1977-01-04,2.29,-3.72
1977-01-05,17.32,-2.43
1977-01-06,11.54,0.03
1977-01-07,10.49,-1.53
1977-01-08,21.17,-0.86
1977-01-09,1.25,-1.54
1977-01-10,2.02,-1.08
1977-01-11,2.25,-7.15
1977-01-12,0.14,-9.46
1977-01-13,4.91,-7.35
1977-01-14,0.63,-17.98
1977-01-15,9.56,-14.79
1977-01-16,2.99,-9.81
1977-01-17,0.05,-12.35
1977-01-18,0.22,-8.53
1977-01-19,1.24,-4.72
1977-01-20,0.8,-2.37
1977-01-21,1.21,-8.25
1977-01-22,0,-18.17
1977-01-23,13.22,-15.04
1977-01-24,0.35,-5.48
1977-01-25,4.57,-8.34
1977-01-26,0.13,-18.83
1977-01-27,0.07,-14.97
1977-01-28,0,-4.41
1977-01-29,0,-3.94
1977-01-30,0.93,-4.37
1977-01-31,0.17,-4.81
1977-02-01,0.05,-3.6
1977-02-02,0.01,0.33
1977-02-03,0,-0.73
1977-02-04,0,-7.71
1977-02-05,0,-8.17
1977-02-06,0,-9.3
1977-02-07,0.1,-9.17
1977-02-08,0,-5.94
1977-02-09,0,-5.51
1977-02-10,0.04,-4.01
1977-02-11,3.46,1.59
1977-02-12,8.1,3.41
1977-02-13,3.12,-8.84
1977-02-14,0,-18.15
1977-02-15,0,-19.87
1977-02-16,0.13,-10.71
1977-02-17,1.28,-0.47
1977-02-18,2.08,-0.93
1977-02-19,5.8,0.19
1977-02-20,3.66,-1.22
1977-02-21,1.95,-1.64
1977-02-22,0.31,-4.04
1977-02-23,0,-3.35
1977-02-24,5.05,-0.37
1977-02-25,7.5,-1.57
1977-02-26,0.82,-1.53
1977-02-27,0.18,0.35
1977-02-28,0.35,5.17
1977-03-01,2.75,3.48
1977-03-02,0.78,2.71
1977-03-03,1.93,0.66
1977-03-04,0,-1.55
1977-03-05,0,-2.03
1977-03-06,0.06,-2.48
1977-03-07,5.72,-4.72
1977-03-08,2.18,-3.94
1977-03-09,9.89,3.56
1977-03-10,5.69,-3.05
1977-03-11,0.95,-15.04
1977-03-12,1.65,-16.14
1977-03-13,0.24,-14.33
1977-03-14,2.38,-6.61
1977-03-15,0.59,-3.84
1977-03-16,0,-6.08
1977-03-17,0,-7.96
1977-03-18,1.14,-2.94
1977-03-19,4.62,-1.09
1977-03-20,0.94,-2.46
1977-03-21,4.17,-5.38
1977-03-22,21.72,-6.39
1977-03-23,6.93,-6.7
1977-03-24,6.06,-4.03
1977-03-25,5,-3.82
1977-03-26,10.02,3.98
1977-03-27,8.93,9.6
1977-03-28,4.63,14.53
1977-03-29,4.23,8.46
1977-03-30,19.31,10.74
1977-03-31,5.09,13.13
1977-04-01,7.54,3.58
1977-04-02,11.89,4.72
1977-04-03,9.93,0.08
1977-04-04,7.69,-2.11
1977-04-05,8.19,-0.34
1977-04-06,0.18,2.45
1977-04-07,0.01,4.06
1977-04-08,0,4.38
1977-04-09,0,2.59
1977-04-10,0,1.3
1977-04-11,0,2.44
1977-04-12,0,6.17
1977-04-13,0,6.33
1977-04-14,0,6.31
1977-04-15,0,8.34
1977-04-16,1.89,10
1977-04-17,6.1,12.49
1977-04-18,0.17,5.09
1977-04-19,13.12,7.74
1977-04-20,8.05,3.26
1977-04-21,0.14,6.4
1977-04-22,0.04,7.23
1977-04-23,2.11,9.18
1977-04-24,1.63,4.56
1977-04-25,1.92,1.2
1977-04-26,0,0.22
1977-04-27,2.48,-0.18
1977-04-28,0.23,5.65
1977-04-29,0,9.78
1977-04-30,0,12.36
1977-05-01,0.48,15.88
1977-05-02,4.66,11.35
1977-05-03,0.97,13.31
1977-05-04,0.66,14.9
1977-05-05,1.6,18.02
1977-05-06,6.07,15.14
1977-05-07,6.54,16.34
1977-05-08,11.06,15.23
1977-05-09,0.23,13.6
1977-05-10,0.83,12.3
1977-05-11,0.13,13.68
1977-05-12,1.05,12.5
1977-05-13,1.56,13.39
1977-05-14,1.56,15.49
1977-05-15,1.68,17.8
1977-05-16,1.56,18.59
1977-05-17,2.71,17.94
1977-05-18,2.32,15.58
1977-05-19,1.56,12.43
1977-05-20,3.92,14.93
1977-05-21,9.02,13.49
1977-05-22,13.24,9.93
1977-05-23,1.15,7.53
1977-05-24,0.17,13.53
1977-05-25,0,15.46
1977-05-26,0,12.7
1977-05-27,0,9.24
1977-05-28,0.16,16.78
1977-05-29,6.57,19.26
1977-05-30,0.3,12.66
1977-05-31,22.55,10.37
1977-06-01,0.23,10.26
1977-06-02,8.03,11.2
1977-06-03,4.57,7.81
1977-06-04,3.8,8.33
1977-06-05,5.55,6.27
1977-06-06,2.43,8.77
1977-06-07,11.36,11.39
1977-06-08,4.52,11.3
1977-06-09,0.07,13.16
1977-06-10,0.34,17
1977-06-11,4.33,17.15
1977-06-12,3.71,14.45
1977-06-13,9.85,15.39
1977-06-14,1.35,17.02
1977-06-15,1.44,17.8
1977-06-16,13.54,17.19
1977-06-17,19.87,19.68
1977-06-18,2.5,19.23
1977-06-19,0.32,19.6
1977-06-20,10.59,19.72
1977-06-21,0.18,20.85
1977-06-22,1.2,22.41
1977-06-23,0,22.16
1977-06-24,3.19,22.24
1977-06-25,5.36,20.18
1977-06-26,24.2,19.36
1977-06-27,8.85,15.9
1977-06-28,2.12,13.62
1977-06-29,8.39,16.68
1977-06-30,12.82,19.82
1977-07-01,1.51,13.53
1977-07-02,2,17.14
1977-07-03,2.15,18.94
1977-07-04,14.11,18.47
1977-07-05,5.48,16.87
1977-07-06,5.63,16.18
1977-07-07,5.9,18.35
1977-07-08,10.52,19.38
1977-07-09,11.87,19.45
1977-07-10,33.78,15.21
1977-07-11,5.8,15.28
1977-07-12,0.35,15.65
1977-07-13,0.09,17.15
1977-07-14,0.13,22.23
1977-07-15,0.13,23.93
1977-07-16,4.35,23.93
1977-07-17,20.39,22.34
1977-07-18,0.16,19.23
1977-07-19,0.05,18.63
1977-07-20,11.43,19.65
1977-07-21,0.05,19.62
1977-07-22,0.5,22.31
1977-07-23,4.81,17.14
1977-07-24,0.05,15.75
1977-07-25,0,13.92
1977-07-26,0,15.33
1977-07-27,5.1,16.88
1977-07-28,6.84,19.88
1977-07-29,1.13,18.49
1977-07-30,10.02,17.45
1977-07-31,0.29,16.01
1977-08-01,0,14.4
1977-08-02,0.01,17.26
1977-08-03,0,19.3
1977-08-04,0.04,17.78
1977-08-05,0,18.7
1977-08-06,0,19.39
1977-08-07,0.84,20.18
1977-08-08,0,21.21
1977-08-09,0.12,23.56
1977-08-10,35.78,22.03
1977-08-11,18.48,19.31
1977-08-12,0.09,15.37
1977-08-13,0.02,12.73
1977-08-14,0.18,15.79
1977-08-15,6.72,19.67
1977-08-16,2.68,19.48
1977-08-17,3.13,19.39
1977-08-18,0.08,15.25
1977-08-19,0,11.15
1977-08-20,0.63,13
1977-08-21,0.91,15.76
1977-08-22,0.11,15.66
1977-08-23,5.96,13.92
1977-08-24,5.81,19.94
1977-08-25,18.81,19.51
1977-08-26,0.3,20.24
1977-08-27,0.34,20.08
1977-08-28,0.12,18.27
1977-08-29,3.61,17.54
1977-08-30,0.68,17.83
1977-08-31,0.55,14.95
1977-09-01,0.05,13.64
1977-09-02,26.35,15.16
1977-09-03,13.01,15.91
1977-09-04,4.5,15.21
1977-09-05,0.55,14.79
1977-09-06,10.99,17.17
1977-09-07,5.53,15.69
1977-09-08,32.79,11.09
1977-09-09,41.97,10.22
1977-09-10,0.13,12.31
1977-09-11,0.81,12.31
1977-09-12,3.92,12.28
1977-09-13,0.12,12.75
1977-09-14,0.13,13.04
1977-09-15,3.62,16.5
1977-09-16,0.25,12.87
1977-09-17,0.01,11.66
1977-09-18,0,9.91
1977-09-19,0.91,17.19
1977-09-20,1.12,16.86
1977-09-21,10.33,21.21
1977-09-22,0.11,12.36
1977-09-23,0.07,6.2
1977-09-24,0,7.2
1977-09-25,0.03,13.36
1977-09-26,6.27,14.43
1977-09-27,8.84,17.58
1977-09-28,2.48,11.37
1977-09-29,1.38,8.11
1977-09-30,7.76,11.84
1977-10-01,11.72,9.5
1977-10-02,1.05,3.77
1977-10-03,0.03,5.39
1977-10-04,0.01,4.92
1977-10-05,0,4.09
1977-10-06,0,3.63
1977-10-07,7.24,8.76
1977-10-08,5.23,11.45
1977-10-09,0.6,10.68
1977-10-10,2.1,11.99
1977-10-11,0.72,9.97
1977-10-12,0.06,7.22
1977-10-13,0.07,10.09
1977-10-14,13.56,7.89
1977-10-15,5.84,5.68
1977-10-16,0.16,5.88
1977-10-17,0.1,7.42
1977-10-18,2.75,15.21
1977-10-19,1.67,9.45
1977-10-20,2.43,5.96
1977-10-21,0.46,2.02
1977-10-22,0,3.13
1977-10-23,0.11,4.99
1977-10-24,0,11.78
1977-10-25,0,4.94
1977-10-26,0,1.52
1977-10-27,0.01,4.85
1977-10-28,19.02,7.86
1977-10-29,0.03,3.84
1977-10-30,8.15,2.8
1977-10-31,1.6,3.55
1977-11-01,3.53,2.74
1977-11-02,7.35,1.29
1977-11-03,1.19,-0.28
1977-11-04,2.4,-1.23
1977-11-05,0.25,-0.99
1977-11-06,1.1,-0.13
1977-11-07,0.83,0.09
1977-11-08,0,-1.37
1977-11-09,0,-1.15
1977-11-10,8.64,0.11
1977-11-11,3.79,5.89
1977-11-12,1.33,3.01
1977-11-13,0.65,-3.21
1977-11-14,5.85,-0.59
1977-11-15,6.21,1.37
1977-11-16,7.11,-4.6
1977-11-17,5.94,-4.26
1977-11-18,5.48,-5.39
1977-11-19,6.86,0
1977-11-20,5.96,3.14
1977-11-21,6.06,-0.22
1977-11-22,3.38,-0.32
1977-11-23,4.08,5.02
1977-11-24,3.08,3.23
1977-11-25,2.68,-0.58
1977-11-26,20.58,-0.51
1977-11-27,5.91,-1.12
1977-11-28,5.63,-0.62
1977-11-29,5.72,-1.21
1977-11-30,7.39,3.51
1977-12-01,11.63,3.92
1977-12-02,5.11,2.65
1977-12-03,9.69,2.08
1977-12-04,0.66,3.2
1977-12-05,7.93,0.04
1977-12-06,5.38,6.5
1977-12-07,3.7,6.25
1977-12-08,1.58,-5.82
1977-12-09,0.06,-2.8
1977-12-10,2.23,-3.48
1977-12-11,0.45,-3
1977-12-12,0,-3.14
1977-12-13,0.71,-0.04
1977-12-14,0,-4.64
1977-12-15,0.37,-0.53
1977-12-16,4.7,0.37
1977-12-17,8.04,-2.94
1977-12-18,0.99,-10.15
1977-12-19,3.21,-7.5
1977-12-20,0.79,-6.87
1977-12-21,10.1,-2.21
1977-12-22,2.86,-5.46
1977-12-23,0,-15.79
1977-12-24,1.22,-9.87
1977-12-25,1.56,-8.92
1977-12-26,0.27,-5.68
1977-12-27,0.01,-7.5
1977-12-28,0.4,-2.98
1977-12-29,2.1,-6.9
1977-12-30,2.62,-11.46
1977-12-31,1.01,-21.43
